# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
2016 01 01 30681 30681.5 2488 19  6.000  5.333  5.000  3.333  1.667  1.000  2.000  1.667   80   56   48   18    6    4    7    6    28  37     98.4     95.1 2
2016 01 02 30682 30682.5 2488 20  3.000  2.333  3.000  2.333  2.333  1.667  1.667  1.333   15    9   15    9    9    6    6    5     9  40    100.0     96.6 2
2016 01 03 30683 30683.5 2488 21  0.333  1.667  2.000  0.667  1.333  2.333  1.667  2.667    2    6    7    3    5    9    6   12     6  51    101.9     98.5 2
2016 01 04 30684 30684.5 2488 22  0.333  1.667  1.667  0.667  0.667  2.000  1.667  0.667    2    6    6    3    3    7    6    3     4  70     95.3     92.2 2
2016 01 05 30685 30685.5 2488 23  0.333  1.000  1.000  1.667  1.000  2.000  2.333  2.000    2    4    4    6    4    7    9    7     5  35     95.2     92.1 2
2016 01 06 30686 30686.5 2488 24  4.667  2.667  3.000  3.333  2.667  2.333  2.333  3.333   39   12   15   18   12    9    9   18    16  31    100.2     96.9 2
2016 01 07 30687 30687.5 2488 25  4.000  2.667  2.667  3.333  2.667  2.667  2.333  1.333   27   12   12   18   12   12    9    5    13  61    103.4     99.9 2
2016 01 08 30688 30688.5 2488 26  1.000  2.333  1.667  2.333  3.000  1.333  1.333  1.333    4    9    6    9   15    5    5    5     7  86    108.5    104.9 2
2016 01 09 30689 30689.5 2488 27  1.667  1.000  1.333  1.000  2.000  1.667  1.000  1.333    6    4    5    4    7    6    4    5     5  97    107.0    103.5 2
2016 01 10 30690 30690.5 2489  1  2.333  1.667  1.000  2.000  2.333  1.333  2.333  2.667    9    6    4    7    9    5    9   12     8  90    108.9    105.4 2
2016 01 11 30691 30691.5 2489  2  1.333  2.667  2.333  1.667  2.000  3.000  4.000  3.667    5   12    9    6    7   15   27   22    13  47    108.0    104.5 2
2016 01 12 30692 30692.5 2489  3  4.000  2.000  2.667  2.333  2.333  2.000  3.000  3.000   27    7   12    9    9    7   15   15    13  40    105.5    102.0 2
2016 01 13 30693 30693.5 2489  4  4.000  4.000  2.000  1.667  2.333  2.333  3.000  1.000   27   27    7    6    9    9   15    4    13  38    104.1    100.7 2
2016 01 14 30694 30694.5 2489  5  1.333  2.000  2.333  2.000  1.667  1.667  1.667  2.667    5    7    9    7    6    6    6   12     7  41    103.2     99.9 2
2016 01 15 30695 30695.5 2489  6  2.000  2.000  1.000  0.667  0.667  1.000  1.000  1.000    7    7    4    3    3    4    4    4     4  45    103.5    100.1 2
2016 01 16 30696 30696.5 2489  7  0.000  1.000  0.667  1.333  1.000  0.333  0.333  0.333    0    4    3    5    4    2    2    2     3  44     99.9     96.7 2
2016 01 17 30697 30697.5 2489  8  0.333  0.000  1.333  0.667  1.000  1.000  0.667  0.333    2    0    5    3    4    4    3    2     3  58    100.6     97.4 2
2016 01 18 30698 30698.5 2489  9  0.000  0.000  0.000  0.333  1.000  1.667  0.667  3.000    0    0    0    2    4    6    3   15     4  54     99.9     96.7 2
2016 01 19 30699 30699.5 2489 10  4.333  2.667  2.333  2.667  1.333  1.333  0.333  1.000   32   12    9   12    5    5    2    4    10  66     97.5     94.4 2
2016 01 20 30700 30700.5 2489 11  0.333  2.000  3.333  4.333  4.667  4.667  4.667  4.333    2    7   18   32   39   39   39   32    26  62    100.4     97.2 2
2016 01 21 30701 30701.5 2489 12  3.667  5.667  5.333  3.333  2.667  3.667  4.000  4.667   22   67   56   18   12   22   27   39    33  64    104.0    100.7 2
2016 01 22 30702 30702.5 2489 13  3.333  3.333  3.333  3.000  2.333  1.667  2.667  2.333   18   18   18   15    9    6   12    9    13  67    100.5     97.3 2
2016 01 23 30703 30703.5 2489 14  1.333  3.333  3.667  2.000  3.000  2.667  1.667  1.333    5   18   22    7   15   12    6    5    11  63     98.9     95.8 2
2016 01 24 30704 30704.5 2489 15  2.667  2.333  1.667  1.000  1.333  2.333  4.000  1.000   12    9    6    4    5    9   27    4    10  48    103.8    100.6 2
2016 01 25 30705 30705.5 2489 16  0.333  0.333  0.667  0.333  0.333  0.333  0.000  0.000    2    2    3    2    2    2    0    0     2  67    107.6    104.3 2
2016 01 26 30706 30706.5 2489 17  0.000  0.000  0.667  1.000  1.000  1.333  1.667  1.000    0    0    3    4    4    5    6    4     3  69    114.8    111.3 2
2016 01 27 30707 30707.5 2489 18  1.000  2.000  1.000  1.333  1.000  0.667  0.000  0.333    4    7    4    5    4    3    0    2     4  83    112.7    109.3 2
2016 01 28 30708 30708.5 2489 19  0.333  0.000  2.333  2.333  1.000  1.000  0.667  0.667    2    0    9    9    4    4    3    3     4  77    109.9    106.6 2
2016 01 29 30709 30709.5 2489 20  0.333  0.667  0.667  0.667  0.667  0.667  0.333  0.667    2    3    3    3    3    3    2    3     3  64    106.9    103.7 2
2016 01 30 30710 30710.5 2489 21  0.333  0.000  0.333  0.333  0.333  0.667  0.000  0.667    2    0    2    2    2    3    0    3     2  36    105.1    102.0 2
2016 01 31 30711 30711.5 2489 22  1.000  1.667  2.333  2.333  2.000  2.000  1.667  3.667    4    6    9    9    7    7    6   22     9  35    101.2     98.3 2
2016 02 01 30712 30712.5 2489 23  2.667  3.667  2.333  2.333  0.333  0.333  0.000  0.000   12   22    9    9    2    2    0    0     7  44    100.2     97.3 2
2016 02 02 30713 30713.5 2489 24  0.000  0.000  1.000  0.667  1.333  2.000  2.000  2.667    0    0    4    3    5    7    7   12     5  52    102.1     99.1 2
2016 02 03 30714 30714.5 2489 25  4.000  4.667  2.667  1.000  0.667  1.000  0.667  0.333   27   39   12    4    3    4    3    2    12  83    112.1    108.9 2
2016 02 04 30715 30715.5 2489 26  0.333  0.333  1.333  1.667  2.333  1.667  1.333  0.667    2    2    5    6    9    6    5    3     5 108    123.3    119.8 2
2016 02 05 30716 30716.5 2489 27  2.667  3.333  2.333  2.333  2.000  2.000  2.333  2.000   12   18    9    9    7    7    9    7    10 103    119.7    116.3 2
2016 02 06 30717 30717.5 2490  1  1.667  2.333  1.333  1.333  1.333  1.667  1.667  2.333    6    9    5    5    5    6    6    9     6  79    117.1    113.9 2
2016 02 07 30718 30718.5 2490  2  2.000  0.333  1.000  1.333  2.000  3.667  2.000  2.000    7    2    4    5    7   22    7    7     8  89    117.1    113.9 2
2016 02 08 30719 30719.5 2490  3  5.000  4.333  4.333  1.667  1.333  1.000  1.000  0.333   48   32   32    6    5    4    4    2    17  89    115.2    112.1 2
2016 02 09 30720 30720.5 2490  4  2.000  1.000  1.333  3.000  2.667  1.333  1.333  2.667    7    4    5   15   12    5    5   12     8  84    117.3    114.1 2
2016 02 10 30721 30721.5 2490  5  2.667  1.333  1.000  0.667  0.333  0.333  0.667  1.000   12    5    4    3    2    2    3    4     4  75    112.2    109.2 2
2016 02 11 30722 30722.5 2490  6  2.000  2.000  2.000  1.333  1.667  2.333  1.667  3.333    7    7    7    5    6    9    6   18     8  85    112.8    109.8 2
2016 02 12 30723 30723.5 2490  7  3.333  2.333  2.000  3.667  3.000  2.333  2.000  2.000   18    9    7   22   15    9    7    7    12  63    112.2    109.3 2
2016 02 13 30724 30724.5 2490  8  2.000  2.667  3.000  1.667  1.000  1.000  0.667  0.667    7   12   15    6    4    4    3    3     7  38    110.3    107.5 2
2016 02 14 30725 30725.5 2490  9  2.333  2.667  2.000  2.333  2.333  3.000  1.667  1.000    9   12    7    9    9   15    6    4     9  46    108.0    105.4 2
2016 02 15 30726 30726.5 2490 10  2.333  2.333  3.000  1.667  1.667  1.000  1.000  4.333    9    9   15    6    6    4    4   32    11  50    107.3    104.7 2
2016 02 16 30727 30727.5 2490 11  4.000  2.667  3.333  4.667  5.333  5.000  5.333  4.667   27   12   18   39   56   48   56   39    37  42    104.0    101.5 2
2016 02 17 30728 30728.5 2490 12  5.000  3.333  4.333  3.000  4.000  3.667  4.667  5.667   48   18   32   15   27   22   39   67    34  38     99.9     97.5 2
2016 02 18 30729 30729.5 2490 13  4.333  5.000  4.000  4.333  3.000  3.333  4.667  3.333   32   48   27   32   15   18   39   18    29  36     94.9     92.7 2
2016 02 19 30730 30730.5 2490 14  3.000  3.333  2.333  3.333  3.000  3.667  3.667  2.000   15   18    9   18   15   22   22    7    16  46     94.0     91.9 2
2016 02 20 30731 30731.5 2490 15  2.333  2.000  2.000  0.667  1.000  0.667  0.333  0.333    9    7    7    3    4    3    2    2     5  52    100.0     97.8 2
2016 02 21 30732 30732.5 2490 16  1.000  1.667  0.667  0.000  0.667  0.667  1.667  1.667    4    6    3    0    3    3    6    6     4  47     95.6     93.5 2
2016 02 22 30733 30733.5 2490 17  0.000  0.000  0.000  0.667  1.000  1.000  0.667  1.000    0    0    0    3    4    4    3    4     2  34     93.7     91.7 2
2016 02 23 30734 30734.5 2490 18  2.333  0.667  0.333  0.333  0.667  0.667  1.667  3.000    9    3    2    2    3    3    6   15     5  37     91.0     89.1 2
2016 02 24 30735 30735.5 2490 19  2.667  1.667  1.333  1.000  2.333  1.000  1.333  1.667   12    6    5    4    9    4    5    6     6  34     87.9     86.1 2
2016 02 25 30736 30736.5 2490 20  1.667  1.667  1.667  1.000  1.000  0.667  0.667  2.000    6    6    6    4    4    3    3    7     5  26     91.7     89.9 2
2016 02 26 30737 30737.5 2490 21  3.667  2.667  1.667  1.000  1.333  0.667  1.000  0.000   22   12    6    4    5    3    4    0     7  48     89.0     87.2 2
2016 02 27 30738 30738.5 2490 22  0.000  1.333  1.333  1.000  0.333  0.333  0.667  0.667    0    5    5    4    2    2    3    3     3  26     90.4     88.6 2
2016 02 28 30739 30739.5 2490 23  1.000  0.000  1.333  1.000  1.000  0.333  0.333  0.667    4    0    5    4    4    2    2    3     3  36     93.2     91.5 2
2016 02 29 30740 30740.5 2490 24  2.000  0.000  0.667  1.000  1.000  0.333  0.333  2.000    7    0    3    4    4    2    2    7     4  45     90.9     89.3 2
